Unnamed: 0,SVR,set,MLR,RF,MLP
67,0.9310640992560264,test,0.8619165690019113,0.7354127091061893,0.8505746771550848
68,0.9474141005460568,train,0.8000933010504881,0.8001109191861918,0.7938299544158162
69,0.8239689987150381,train,0.675693503680807,0.6438028564363691,0.6669039519810758
70,0.844926374258003,train,0.6985359086393571,0.6730230127555418,0.7154658451015766
71,0.8724399995024911,train,0.7706134363983186,0.8817617191617876,0.7985189128170429
72,-0.06668232479393621,train,0.10674731959786897,0.6346444860438111,0.19030345501067106
73,0.7580083420337097,train,0.6659665026245071,0.6346444860438111,0.6821822295797711
74,0.9641119894596596,train,0.8656722840863881,0.8404773146945811,0.8564048734527278
75,0.7599172465074432,train,0.651060401972265,0.6346444860438111,0.688096297121658
76,0.7909037136367317,train,0.6848649384471479,0.7086558734771083,0.6989871611703268
77,0.823584114648417,train,0.7378730985347811,0.7058489392185944,0.7478133798480779
78,0.661701704640906,train,0.6070085875525114,0.642799980725996,0.6162839415085394
79,0.8577761553764113,test,0.6916092945029592,0.693748620276463,0.6668510731467988
80,0.8630302041893071,train,0.835144188602925,0.8386569205144925,0.7774181811435187
81,0.969908268075249,train,0.9033916955754028,0.86846522811047,0.9230312833081956
82,0.5594672715601497,train,0.3997983003547203,0.6406521213073668,0.42898607264253774
83,0.8625525006101272,train,0.7687357123590062,0.7950479667233125,0.7198299994325431
84,0.8553572528451966,train,0.8452464995401768,0.6867650869001036,0.8455888110478633
85,0.905611614930846,train,0.7578936078119486,0.7442415361584631,0.7684687952342351
86,0.9614421432631858,train,0.753332461816495,0.7766512263221641,0.7207341324602958
87,0.7046430891234096,test,0.630079473284753,0.642799980725996,0.6223336493078706
88,0.842357612676835,train,0.7308476587270007,0.7258120569892049,0.7618113971402682
89,0.9211966385562851,train,0.7536071786303296,0.8340354049281691,0.8131614031441474
90,0.9494703886670554,train,0.8224171347699476,0.7563693858600045,0.7791757791443941
91,0.9249221714509815,train,0.8110540600054756,0.8930278124719384,0.8361523071270793
92,0.8835897709005739,train,0.7412912701989732,0.8175489414617945,0.7955796644315437
93,0.5862469738083377,train,0.5294302465763825,0.7153822739837512,0.552513362999716
94,0.8573758145497706,train,0.7229711802317705,0.7554500607941586,0.7124062847553841
95,0.8659758665360965,test,0.7921377850905487,0.8525914261171174,0.8444334547840476
96,0.7179877899758736,train,0.6614331029146949,0.642799980725996,0.6578423285915712
97,0.9049052520132841,test,0.7937974137129709,0.7207913674964231,0.7574536391068835
98,0.7824473011176082,test,0.7424114311476196,0.7376065037552817,0.6798188367300774
99,0.8766165890498648,train,0.8062947917446708,0.7431836916896324,0.7913374294269191
100,0.924697861814015,train,0.8853513716631999,0.8884671233299812,0.8652503417725544
101,0.9870104244714872,train,0.9388842355555174,0.8807091801707081,0.9266627844990188
102,1.0479098118530552,train,0.9709975666627776,0.9015533573657162,0.9543245069665208
103,0.9440980123778934,train,0.8543610646590452,0.7701617698348222,0.8306688505245645
