context,set,feature,response,timepoint,y_true,model,y_pred
C,train,topo,ACTIVITY,8,1.0,SVR,1.031988244600198
C,test,topo,ACTIVITY,8,1.0,SVR,0.9715210839248148
C,train,topo,ACTIVITY,8,1.0,SVR,0.9763986864826021
C,train,topo,ACTIVITY,8,1.0,SVR,0.9742321722276924
C,train,topo,ACTIVITY,8,0.9487179487179488,SVR,0.9795607020517832
C,train,topo,ACTIVITY,8,1.0,SVR,0.965499314567003
C,test,topo,ACTIVITY,8,1.0,SVR,0.9546694205458176
C,train,topo,ACTIVITY,8,1.0,SVR,0.995174646379871
C,test,topo,ACTIVITY,8,1.0,SVR,0.9755303264492792
C,train,topo,ACTIVITY,8,1.0,SVR,0.9695066961176816
C,train,topo,ACTIVITY,8,1.0,SVR,1.0064834989530933
C,test,topo,ACTIVITY,8,1.0,SVR,0.9683194106395998
C,test,topo,ACTIVITY,8,1.0,SVR,0.9747696744922196
C,test,topo,ACTIVITY,8,1.0,SVR,0.9757899759832096
C,train,topo,ACTIVITY,8,1.0,SVR,0.9803630281845042
C,test,topo,ACTIVITY,8,1.0,SVR,0.9758881983183496
C,train,topo,ACTIVITY,8,1.0,SVR,0.9819604225481324
C,test,topo,ACTIVITY,8,1.0,SVR,0.9924084844814144
C,test,topo,ACTIVITY,8,1.0,SVR,0.963844385220762
C,test,topo,ACTIVITY,8,1.0,SVR,0.978852285660352
C,train,topo,ACTIVITY,8,1.0,SVR,0.9681416616340464
C,train,topo,ACTIVITY,8,1.0,SVR,0.9812924828830614
C,train,topo,ACTIVITY,8,1.0,SVR,0.9714863379996874
C,train,topo,ACTIVITY,8,1.0,SVR,0.9882230435165572
C,train,topo,ACTIVITY,8,1.0,SVR,0.9685309141858394
C,test,topo,ACTIVITY,8,1.0,SVR,0.9850441577464136
C,test,topo,ACTIVITY,8,1.0,SVR,0.9766996151743664
C,train,topo,ACTIVITY,8,1.0,SVR,0.977468042884004
C,train,topo,ACTIVITY,8,1.0,SVR,0.9858652191151459
C,test,topo,ACTIVITY,8,1.0,SVR,0.9840186720678672
C,train,topo,ACTIVITY,8,1.0,SVR,0.9751853103932882
C,train,topo,ACTIVITY,8,1.0,SVR,0.9728627860473846
C,train,topo,ACTIVITY,8,1.0,SVR,0.9739135639668088
C,train,topo,ACTIVITY,8,1.0,SVR,0.98749744047557
C,test,topo,ACTIVITY,8,1.0,SVR,0.9808421701601358
C,train,topo,ACTIVITY,8,1.0,SVR,0.9679951319508806
C,train,topo,ACTIVITY,8,0.0980392156862746,SVR,0.954402654419516
C,train,topo,ACTIVITY,8,1.0,SVR,0.9651190011823144
C,train,topo,ACTIVITY,8,1.0,SVR,0.9802683075146684
C,test,topo,ACTIVITY,8,1.0,SVR,0.9858558511775808
C,train,topo,ACTIVITY,8,1.0,SVR,0.9814265904058228
C,train,topo,ACTIVITY,8,1.0,SVR,0.9884611940832341
C,train,topo,ACTIVITY,8,1.0,SVR,0.9752235617538676
C,test,topo,ACTIVITY,8,1.0,SVR,0.9712958788634792
C,test,topo,ACTIVITY,8,0.8285714285714285,SVR,0.9795165728321872
C,test,topo,ACTIVITY,8,0.9565217391304348,SVR,0.9617160314513225
C,train,topo,ACTIVITY,8,1.0,SVR,0.9813323259228746
C,test,topo,ACTIVITY,8,1.0,SVR,1.0050704527231795
C,train,topo,ACTIVITY,8,0.4047619047619046,SVR,0.9797813938331332
C,train,topo,ACTIVITY,8,1.0,SVR,0.9733553059624338
C,train,topo,ACTIVITY,8,1.0,SVR,0.9680609487627532
C,train,topo,ACTIVITY,8,0.8636363636363635,SVR,0.972217475096988
